Account ID,Full Name,Title,Function,Last Activity,Email,Phone
001Hr000028ZcVA,Kesha Billings,Community Development Director,Planning & Zoning,2025-04-08,,
001Hr000028ZcVA,Kirk Wilson,Building Inspector,Building/Permitting/Inspections,2026-02-03,,
001Hr000028ZcVA,Brentt Stepanek,Code Enforcement Officer,Code Enforcement,2024-09-05,,
001Hr000028ZcVA,Jim Fisher,Assistant Building Official,Building/Permitting/Inspections,,,
001Hr000028ZcVA,Tiffany Stinson,Permit Clerk,Building/Permitting/Inspections,2026-02-18,,
001Hr000028ZcVK,Ryan Delaney,Chairman of Planning Commision,Planning & Zoning,,,
001Hr000028ZcVK,Greg Swanson,Building Official,Building/Permitting/Inspections,2026-02-03,,
001Hr000028ZcVK,Travis Goedken,City Manager,Other,2026-02-03,,
001Hr000028Zbn2,Colby Ellis,Code Enforcement Official,Code Enforcement,2026-04-06,,
001Hr000028Zbn2,Chris Flattery,Building Inspector,Building/Permitting/Inspections,2024-08-30,,
001Hr000028ZcXG,Kaci Elkin,Interim City Manager,Other,,,
001Hr000028ZcXG,Joedy Dennis,Building and Zoning Director,Building/Permitting/Inspections,,,
001Hr000028ZcXG,Teresa Lancaster,Building and Zoning Director,Building/Permitting/Inspections,,,
001Hr000028Zbp2,Amber Farnan,City Administrator/Director of Finance,Other,2025-04-03,,
001Hr000028Zbp2,Jamey Clark,Public Works Director,Other,,,
001Hr000028Zbp2,Danielle Arnold,City Clerk,Other,2025-04-08,,
001Hr000028Zbp2,Mitch Kilf,City Administrator/Director of Finance,Other,,,
001Hr000028Zbp2,Matt Gray,Fire Chief,Other,,,
001Hr000028Zbp2,Theresa Simonetti,City Clerk,Other,2026-02-03,,
001Hr000028ZcZp,Matthew Chesmore,Building Official,Building/Permitting/Inspections,2026-02-05,,
001Hr000028ZcZp,Matthew Schmitz,City Manager,Other,,,
001Hr000028Zbs3,Colette Baker,Code Enforcement Officer,Code Enforcement,2024-09-03,,
001Hr000028Zbs3,Scott Olesen,Chief Building Official,Building/Permitting/Inspections,2026-05-18,,
001Hr000028Zbs3,Chris Chambers,Building Inspector,Building/Permitting/Inspections,,,
001Hr000028Zbs3,Lee Dutfield,Development Services Specialist,Planning & Zoning,,,
001Hr000028Zcc0,Mike Taylor,City Administrator,Other,2026-03-11,,
001Hr000028Zcc0,Jesse Bolinger,Planning and Zoning Commission Chairperson,Planning & Zoning,,,
001Hr000028Zcc0,Bobby Wintermute,Building & Code Compliance Officer,Code Enforcement,2026-02-02,,
