Account ID,Full Name,Title,Function,Last Activity,Email,Phone
001Hr000028ZcVS,Barbara Hansen,Building Coordinator,Building/Permitting/Inspections,2025-09-26,,
001Hr000028ZcVS,Denise Sulek,Planning and Building Administrator,Building/Permitting/Inspections,2026-02-19,,
001Hr000028ZcVS,Steve Winarski,Building Inspector,Building/Permitting/Inspections,2025-11-03,,
001Hr000028ZcVS,Dan Gin,IT Director,Other,2026-02-18,,
001Hr000028ZcVS,Sam Decero,Code Enforcement,Code Enforcement,2026-02-25,,
001Hr000028ZcVX,Tricia Miller,Community Development Director,Planning & Zoning,2025-04-17,,
001Hr000028ZcVX,Mike Wells,Building Official,Building/Permitting/Inspections,2025-05-01,,
001Hr000028ZcVX,Angela Linville,Community Development Director,Planning & Zoning,2026-02-02,,
001Hr000028ZcVX,Sarah Lamping,Economic Development Director,Other,2026-03-27,,
001Hr000028ZcVX,Brad Marcy,Clerk-Treasurer,Other,2026-02-03,,
001Hr000028ZcVX,Stan Holt,Code Enforcement Officer,Code Enforcement,,,
001Hr000028ZbnI,Jenifer VanSchuyver,Director of Development,Other,2026-02-09,,
001Hr000028ZbnI,Chad Spitznagle,Building Commissioner,Building/Permitting/Inspections,,,
001Hr000028ZbnI,Jason Hardebeck,Building Commissioner,Building/Permitting/Inspections,2026-02-02,,
001Hr000028ZbnI,Carol Houston,EA to the Mayor,Other,2026-02-02,,
001Hr000028Zbnr,Tony Jackson,Planning Director/Building Commissioner,Building/Permitting/Inspections,2026-02-19,,
001Hr000028Zbnr,Tubby Purcell,Code Enforcement Officer,Code Enforcement,2026-02-19,,
001Hr000028Zbnr,John Palmer,Building Inspector,Building/Permitting/Inspections,2025-03-31,,
001Hr000028Zbnr,Grace Walter,Code Enforcement,Code Enforcement,2026-02-02,,
001Hr000028ZcXc,John Hemmelgarn,Building and Zoning Director,Building/Permitting/Inspections,2025-10-27,,
001Hr000028ZcXc,Pati McLaughlin,Assistant Director,Other,,,
001Hr000028Zbp3,Joseph Csikos,Development Director,Other,2025-06-16,,
001Hr000028Zbp3,Sarah Lynch,,Other,2026-02-19,,
001Hr000028Zbp3,Doug Dischler,Building Inspector,Building/Permitting/Inspections,2026-03-10,,
001Hr000028Zbp3,Chelsea Fenimore,Senior Planner,Planning & Zoning,2026-02-17,,
001Hr000028Zbp3,Dax Norton,Town Manager,Other,2026-05-15,,
001Hr000028Zbp3,Alex Koenig,Director of Planning and Zoning,Planning & Zoning,2026-05-19,,
001Hr000028ZcZ2,Sara Bowman,Zoning Administrator,Planning & Zoning,2026-03-05,,
001Hr000028ZcZ2,Sara Heerdink,Zoning Administrator,Planning & Zoning,,,
001Hr000028ZcZ6,John Reller,Community Development Director,Planning & Zoning,,,
001Hr000028ZcZ6,Grant Kleinhenz,Community Devlopment Officer,Other,2025-10-17,,
001Hr000028ZcZ6,John Merritt,Building Commissioner,Building/Permitting/Inspections,2025-10-16,,
001Hr000028ZcZ6,Norma Barrett,Permit Tech,Building/Permitting/Inspections,2026-02-26,,
001Hr000028ZcZ6,Philip Foust,Clerk-Treasurer,Other,2026-02-27,,
001Hr000028ZcZ6,Leslie Drake-Brown,Permit Tech,Building/Permitting/Inspections,2026-03-02,,
001Hr000028ZcZK,Steve Goodson,Building Inspector,Building/Permitting/Inspections,2026-05-08,,
001Hr000028ZcZK,Connie Berger,Clerk-Treasurer,Other,,,
001Hr000028ZcZK,Chris Cail,Mayor,Other,2026-02-25,,
001Hr000028ZcZL,Janet McClellan,Zoning and Planning Administrator,Planning & Zoning,2026-03-27,,
001Hr000028ZcZu,Don Upchurch,Building inspector,Building/Permitting/Inspections,2025-09-18,,
001Hr000028ZcZu,Thomas Brown,Planning Commission Chairman,Planning & Zoning,2025-10-16,,
001Hr000028ZcZu,Jim Schneck,Building Inspector,Building/Permitting/Inspections,2025-04-16,,
001Hr000028ZcZu,Donna Dunne,Building Clerk,Building/Permitting/Inspections,2026-02-13,,
001Hr000028ZcZu,Frank Jachim,IT,Other,2026-02-13,,
001Hr000028Zca8,Tony Richards,Councilman,Other,,,
001Hr000028Zca8,Gary Tannehill,I.T. Manager,Other,2025-06-26,,
