Account ID,Full Name,Title,Function,Last Activity,Email,Phone
001Hr000028ZcWK,Jenifer McCabe,Code Enforcement and Health Officer,Code Enforcement,2025-03-14,,
001Hr000028ZcWK,Brown DeCarlo,Planner/Economic Community Director,Planning & Zoning,2025-04-01,,
001Hr000028ZcWK,Jeni McCabe,Code Enforcement Officer | Licensed Plumbing Inspector,Code Enforcement,,,
001Hr000028ZcWK,Britney Spencer,Planning Administrative Assistant,Planning & Zoning,,,
001Hr000028ZcWK,DeCarlo Brown,Planner | Economic Community Director,Planning & Zoning,2026-04-23,,
001Hr000028ZcWK,Timothy Pellerin,Town Manager & Road Commissioner,Other,2026-04-23,,
001Hr000028ZcWK,Jennifer Janelle,Assistant Town Manager; Finance Director,Other,2026-04-23,,
001Hr000028ZcWK,Alan Plummer,"Code Enforcement Officer, Licensed Plumbing Inspector, Health Officer",Code Enforcement,2026-04-30,,
001Hr000028ZcWa,Tammy Munson,Director of Code Enforcement and Planning,Code Enforcement,2025-12-23,,
001Hr000028ZcWa,Doug Webster,Planning Director,Planning & Zoning,2025-03-06,,
001Hr000028ZcWa,George Froehlich,Assistant Code Enforcement Officer,Code Enforcement,,,
001Hr000028ZcWa,Michael Foley,Town Manager,Other,2025-12-08,,
001Hr000028ZcWa,Denise Clavette,Interim Town Manager,Other,2025-12-08,,
001Hr000028ZcWa,Kristen Muszynski,Town Planner,Planning & Zoning,2025-12-11,,
001Hr000028ZcYB,Kris McNeill,Health/Code Enforcement Officer,Code Enforcement,2025-01-02,,
001Hr000028ZcYB,Melissa Lindley,Economic Development Director/Public Information Officer,Other,2024-12-12,,
001Hr000028ZcYB,Denise Brown,Interim City Manager,Other,,,
001Hr000028ZcYh,Tony Michaud,Zoning Administrator,Planning & Zoning,2025-02-27,,
001Hr000028ZcYh,Philip Thompson,Economic Development Contact,Other,,,
001Hr000028Zbqq,Andy LePage,Planning Board Chairman,Planning & Zoning,,,
001Hr000028Zbqq,David Salvatore,Code Enforcement Officer,Code Enforcement,2025-04-24,,
001Hr000028Zbqq,Rod Furbush,Code Enforcement Officer,Code Enforcement,,,
001Hr000028Zcao,William Bullard,"Chairman, Planning Board",Planning & Zoning,,,
001Hr000028Zcao,Ross Gagne,Code Enforcement Officer,Code Enforcement,2025-03-10,,
001Hr000028Zcao,Kurt Schaub,Town Manager,Other,,,
001Hr000028ZcbW,Angie Chamberlain,Code Enforcement Officer,Code Enforcement,,,
001Hr000028ZcbW,Michele Gagnon,Planning Director,Planning & Zoning,,,
001Hr000028ZcbW,Michael Gurtler,Deputy Code Enforcement Officer,Code Enforcement,,,
001Hr000028ZcbW,Tammy Desjardin,Administrative Assistant,Other,,,
001Hr000028Zcce,Shelly Bishop,Code Enforcement Officer,Code Enforcement,2026-01-08,,
001Hr000028Zcce,Jeff Brubaker,Town Planner,Planning & Zoning,2026-01-08,,
001Hr000028Zcce,Kim Tackett,Land Use Administrative Assistant,Planning & Zoning,,,
001Hr000028Zcce,Michael Sullivan,Town Manager,Other,2026-01-12,,
001Hr000028Zcdn,Mike Pindell,Code Enforcement Officer / Building Inspector,Code Enforcement,2025-11-04,,
001Hr000028Zcdn,Jacob Sesker,Planning and Development Director,Planning & Zoning,,,
001Hr000028Zcdn,Julie Erdman,Director of Planning & Development,Planning & Zoning,2026-04-06,,
001Hr000028Zcdn,Jim Flanders,Planning Board Chairman,Planning & Zoning,,,
001Hr000028Zcdn,Frank Maloney,Building Department,Building/Permitting/Inspections,,,
001Hr000028Zcdn,Jay Astle,Assistant Town Manager,Other,,,
001Hr000028Zcdn,Jimmy Dealaman,Principal Planner,Planning & Zoning,2026-04-07,,
001Hr000028Zce3,Raymond Doyon,Planning Board Chairman,Planning & Zoning,,,
001Hr000028Zce3,Ginifir Giddinge,Chief Building Inspector,Building/Permitting/Inspections,,,
001Hr000028Zce3,Erik Baker,Town Manager,Other,,,
001Hr000028ZceI,Dennis Gray,Planning Board Chairman,Planning & Zoning,,,
001Hr000028ZceI,Chris Bilodeau,Code Enforcement Officer | Residential Electrical Inspector | Licensed Plumbing Inspector,Code Enforcement,2025-02-26,,
001Hr000028ZceK,Nancy Ketch,Community/Economic Development Director,Other,2026-03-09,,
001Hr000028ZceK,Benjamin Torres,Code Enforcement Officer,Code Enforcement,2026-01-13,,
001Hr000028ZceK,Kevin Tingley,Interim Code Enforcement Officer,Code Enforcement,2026-04-14,,
001Hr000028Zcew,Christopher Summers,"Chairman, Board of Selectmen",Other,,,
001Hr000028Zcew,Henry Raymond,"Chairman, Planning Board",Planning & Zoning,,,
001Hr000028Zcew,Chris Summers,Code Enforcement Officer,Code Enforcement,2025-02-07,,
