Account ID,Full Name,Title,Function,Last Activity,Email,Phone
001Hr000028ZcXa,Christy Duggan,Planning and Zoning Director,Planning & Zoning,2025-02-25,,
001Hr000028ZcXa,Lonnie Fountain,Building Director,Building/Permitting/Inspections,2026-04-09,,
001Hr000028Zcab,Roy Haynes,Building Inspector,Building/Permitting/Inspections,2026-01-27,,
001Hr000028Zcab,Eddie Buchanan,Zoning Board Chairman,Planning & Zoning,,,
001Hr000028ZcbH,Andy Berryhill,Chief Building Official,Building/Permitting/Inspections,2025-08-13,,
001Hr000028ZcbH,Hughye McDaniel,Code Enforcement Officer,Code Enforcement,,,
001Hr000028ZcbH,Dennis Barfield,Building Inspector,Building/Permitting/Inspections,,,
001Hr000028ZccB,Billy Trotter,Community Development Director,Planning & Zoning,2026-05-08,,
001Hr000028ZccB,Steve Taylor,Building Inspector,Building/Permitting/Inspections,2025-02-26,,
001Hr000028ZccB,Danita McClure,"Assistant Director, Community Development",Planning & Zoning,2025-11-17,,
001Hr000028ZcdH,Bryan Riley,Building Inspector,Building/Permitting/Inspections,2026-04-30,,
001Hr000028ZcdH,Stephen Hodges,Building & Planning Director,Building/Permitting/Inspections,2025-07-22,,
001Hr000028ZcdH,Jeremy Hooper,Code Enforcement Officer,Code Enforcement,,,
001Hr000028ZcdH,Erika Holden,Administrative Director | Community Development,Planning & Zoning,,,
001Hr000028Zcda,Terry Williamson,Planning and Zoning Director,Planning & Zoning,2026-04-30,,
001Hr000028Zcda,Tim Ball,New Planning and Zoning Director,Planning & Zoning,2026-05-01,,
001Hr000028Zcda,Brad White,Fire Chief,Other,2026-05-26,,
001Hr000028Zcef,George Irby,Director of Planning and Community Development,Planning & Zoning,2026-05-08,,
001Hr000028Zcef,Jammie Garrett,COO,Other,2026-01-22,,
001Hr000028Zcef,Kenneth Wiegel,Chief Building Official,Building/Permitting/Inspections,,,
001Hr000028Zcef,Jim Brigham,,Other,,,
001Hr000028Zcef,Nathan Katona,Building Official,Building/Permitting/Inspections,2026-04-30,,
001Hr000028Zcef,Sasha James,Director of Code Enforcement,Code Enforcement,2026-05-06,,
001Hr000028Zcef,Cynthia Stevens,Building Inspection/Code Enforcement/Zone/Flood - Office Manager,Code Enforcement,,,
001Hr000028Zcg1,Greg Tyson,Community Development Director,Planning & Zoning,2026-04-15,,
001Hr000028Zcg2,Brad Robertson,Community Development Director,Planning & Zoning,2026-02-20,,
001Hr000028Zcgx,Darby Kilpatrick,Chief Building and Zoning Officer,Building/Permitting/Inspections,2026-05-08,,
001Hr000028Zcgx,Faye Johnston,City Clerk | Administrative Contact,Other,2025-07-23,,
001Hr000028ZchS,Jennifer Rivera,City Planner,Planning & Zoning,2025-03-18,,
001Hr000028ZchS,Mark Savasta,Director of Community Development,Planning & Zoning,2025-04-09,,
001Hr000028ZchS,Tom Phares,Planning Commission Chairman,Planning & Zoning,,,
001Hr000028ZchS,Billy Dauphin,Director of Community Development,Planning & Zoning,2026-05-07,,
001Hr000028Zcj0,Eric Thomas,"Building Inspector, Zoning Administrator and Code Enforcement",Code Enforcement,2026-02-23,,
001Hr000028Zcj0,Billye Jean Stroud,Community Development Director,Planning & Zoning,2026-02-23,,
001Hr000028Zclp,Jason Sutphin,Public Works/Community Development Director,Planning & Zoning,2026-04-15,,
001Hr000028Zclp,Harold Johnson,Chief Building Official,Building/Permitting/Inspections,2026-04-15,,
001Hr000028Zcn0,Chris Carter,Chief Building Official,Building/Permitting/Inspections,2026-04-15,,
001Hr000028Zcn0,Jeanne Conrad,Zoning Manager,Planning & Zoning,,,
001Hr000028Zcn0,Julie Burt,Deputy City Clerk,Other,2025-02-18,,
001Hr000028Zcn0,Josh Hayes,Building Inspector,Building/Permitting/Inspections,2025-08-14,,
001Hr000028Zcn3,Austin Cardosi,Planning Director,Planning & Zoning,2026-04-10,,
001Hr000028Zcn3,Joe Engel,Chief Building Official,Building/Permitting/Inspections,2025-03-12,,
001Hr000028Zc1e,Chris Young,Director of Public Safety,Other,2025-07-23,,
001Hr000028Zc1e,Jody Fulton,Code Enforcement Officer,Code Enforcement,2026-01-27,,
001Hr000028Zc1e,Glenn Haab,Community Development Director,Planning & Zoning,,,
001Hr000028Zc1e,Robert Eaves,Public Works Director,Other,,,
001Hr000028Zc3T,Pat Rich,Planning and Zoning Administrator,Planning & Zoning,2026-01-22,,
001Hr000028Zc3T,Jon McCraw,City Manager,Other,,,
001Hr000028Zc3T,Beau King,Building Official,Building/Permitting/Inspections,2026-04-29,,
001Hr000028ZcqA,Jeremy Burke,Planning and Zoning Administrator,Planning & Zoning,2025-05-15,,
001Hr000028ZcqA,Ricky Ladner,Building Official,Building/Permitting/Inspections,2026-02-19,,
001Hr000028ZcrG,Tom Hewlett,Community Development Director,Planning & Zoning,2025-08-25,,
001Hr000028ZcrG,Andrew Beamon,Building Official,Building/Permitting/Inspections,2026-04-10,,
001Hr000028ZcuX,Jeff Richardson,Community Development Director,Planning & Zoning,2026-04-10,,
001Hr000028Zcuq,Jamal Mayfield,City Inspector,Building/Permitting/Inspections,2026-02-12,,
001Hr000028Zcuq,Elvis Pernell,Public Works Director,Other,2026-02-03,,
001Hr000028Zcuq,Wade Wagoner,Deputy City Manager | Chief of Development and Operations,Other,,,
001Hr000028Zcuq,Tim Little,Building & Zoning Official | Code Enforcement,Code Enforcement,,,
001Hr000028Zcuq,Bill Mettee,Associate Planner,Planning & Zoning,,,
001Hr000028Zcuq,Kaitlyn King,Assistant City Inspector,Building/Permitting/Inspections,2026-02-12,,
001Hr000028Zcvk,Mike Prestage,Chief Building Official/Zoning Administrator,Building/Permitting/Inspections,2025-07-18,,
001Hr000028Zcvk,Chris Coy,Building Official,Building/Permitting/Inspections,2026-04-10,,
001Hr000028Zcvk,Josh Carlisle,Clerk,Other,2026-04-10,,
001Hr000028Zc8z,Rex Garretson,Building Inspector,Building/Permitting/Inspections,2024-07-18,,
001Hr000028Zc8z,James Radcliff,Chairman of Planning Commission,Planning & Zoning,,,
001Hr000028Zcwe,Mack Pigg,Building Official,Building/Permitting/Inspections,2025-07-21,,
001Hr000028Zcwe,Will Burwell,Director of Building & Development,Building/Permitting/Inspections,2025-12-08,,
001Hr000028Zcwe,Chuconna Anderson,City Clerk,Other,2025-12-11,,
001Hr000028Zcwe,Edward Jones,Director of Building & Development,Building/Permitting/Inspections,2026-04-30,,
001Hr000028Zc9J,Coley Reno,Planning and Zoning Director,Planning & Zoning,2025-04-08,,
001Hr000028Zc9J,Jimmy Davis,Building Inspector,Building/Permitting/Inspections,,,
001Hr000028Zc9J,Jon Grisham,Assistant City Manager,Other,,,
001Hr000028Zc9J,Tracy Luna,City Clerk | Zoning Commission Administrative Coordinator,Planning & Zoning,,,
001Hr000028Zc9J,Breanna Jordan,Deputy City Clerk,Other,2026-06-03,,
001Hr000028Zc9J,Breanna Mayes,Deputy City Clerk,Other,,,
001Hr000028Zc9J,Aaron Hosford,Tristate Consulting,Other,,,
001Hr000028Zcx1,Diane Miller,Planning and Zoning Director,Planning & Zoning,2026-01-29,,
