Account ID,Full Name,Title,Function,Last Activity,Email,Phone
001Hr000028ZcZo,Doug Osterman,Planning Director,Planning & Zoning,2025-07-01,,
001Hr000028ZcZo,Joe Ward,Building Inspector,Building/Permitting/Inspections,2025-05-21,,
001Hr000028ZcZo,Holly Phelps,City Manager,Other,,,
001Hr000028Zbs2,Tad Lisowski,Chief Building Official,Building/Permitting/Inspections,2026-01-12,,
001Hr000028Zbs2,David Taylor,Planning and Building Director,Building/Permitting/Inspections,2026-01-12,,
001Hr000028Zbs2,Wendy Compton-Ring,Senior Planner,Planning & Zoning,2026-01-12,,
001Hr000028Zbs2,Craig Workman,Public Works Director,Other,2025-06-02,,
001Hr000028ZcdB,Lynda Benson,Building Official,Building/Permitting/Inspections,2026-01-29,,
001Hr000028ZcdB,Rob Edington,City Planner,Planning & Zoning,2025-05-16,,
001Hr000028Zcgt,Jason Gonzales,Building Inspector,Building/Permitting/Inspections,2025-05-21,,
001Hr000028Zcgt,Kurt Markegard,Planning Director,Planning & Zoning,,,
001Hr000028Zcrl,Dennis Hirsch,Chief Building Inspector,Building/Permitting/Inspections,2025-05-12,,
001Hr000028Zcrl,Ally Capps,City Planner,Planning & Zoning,,,
001Hr000028Zcrl,Gabe Martinsen,Building Inspector,Building/Permitting/Inspections,,,
001Hr000028ZcuM,Carl Hamming,Planning Director,Planning & Zoning,2025-08-21,,
001Hr000028ZcuM,Greg Bahr,Building Inspector,Building/Permitting/Inspections,,,
001Hr000028Zc8k,Doug Byron,Planning/Zoning Commission Chairman,Planning & Zoning,2025-11-04,,
001Hr000028Zc8k,Darrell Aaby,Building Inspector,Building/Permitting/Inspections,,,
001Hr000028Zc8k,Frank Ceane,Public Works Director,Other,2025-11-13,,
001Hr000028Zc8k,Pete Leath,Assistant Public Works Director,Other,,,
001Hr000028Zc8k,Ryan Russet,Assistant Public Works Director,Other,2025-11-10,,
001Hr000028Zc8k,Forest Sanderson,Contract Planner,Planning & Zoning,2025-11-05,,
001Hr000028ZcxF,Jason Karp,Community Development Director,Planning & Zoning,2025-05-08,,
001Hr000028ZcxF,Lucas Sobeck,Chief Building Official,Building/Permitting/Inspections,2025-05-12,,
001Hr000028ZcxF,Joe Stuchlik,Chief Building Official,Building/Permitting/Inspections,,,
001Hr000028ZcB0,David Seitz,Planning Board Chairman,Planning & Zoning,2025-11-17,,
001Hr000028ZcB0,Kale Rasmussen,Building Inspector,Building/Permitting/Inspections,2026-02-06,,
001Hr000028ZcB0,Forrest Sanderson,Community Development Director,Planning & Zoning,,,
001Hr000028ZcDB,Bonnie Ehredt,Permit Technician,Building/Permitting/Inspections,,,
001Hr000028ZcDB,Audrey Wallace,Permit Technician,Building/Permitting/Inspections,2025-01-16,,
001Hr000028ZcDB,Bruce Haman,Building Official,Building/Permitting/Inspections,2026-01-22,,
001Hr000028ZcDB,Brock Cherry,Planning and Community Development Director,Planning & Zoning,2026-01-22,,
001Hr000028ZcDB,Rachel Campbell,Permit Technician,Building/Permitting/Inspections,,,
001Hr000028ZcDB,Amber Johanneck,City Manager,Other,,,
001Hr000028ZcDB,Bruce Hamann,City Manager,Other,,,
001Hr000028ZcDB,Alaina Mattimiro,Code Enforcement,Code Enforcement,,,
001Hr000028ZcDB,Brad Eatherly,Senior Planner,Planning & Zoning,,,
001Hr000028ZcDB,Lonni Hill,"Deputy Director, Planning and Community Development",Planning & Zoning,2026-01-22,,
001Hr000028Zd6p,Kimberley Mack,Chief Building Official,Building/Permitting/Inspections,2025-10-30,,
001Hr000028Zd6p,Chris Brink,Community Development Director,Planning & Zoning,2025-10-08,,
001Hr000028Zd6p,Ellie Ray,Senior Planner,Planning & Zoning,2025-10-30,,
001Hr000028Zd6p,Edward Johnson,Planning Manager,Planning & Zoning,2025-10-30,,
001Hr000028Zd7D,Victoria Bellmore,Permit Technician,Building/Permitting/Inspections,2025-11-10,,
001Hr000028Zd7D,PJ Sorensen,Assistant Director of Development Services,Planning & Zoning,2025-11-10,,
001Hr000028Zd7D,Jarod Nygren,Development Services Director,Planning & Zoning,2025-11-10,,
001Hr000028Zd7D,Kristin Robinson,Planning Office Coordinator,Planning & Zoning,2025-11-10,,
001Hr000028Zd7D,Jeff Clawson,Chief Building Official,Building/Permitting/Inspections,2025-10-14,,
001Hr000028Zd7D,Dale Westphal,Economic Development Manager,Other,2025-11-10,,
001Hr000028Zd7X,Lita Fonda,Administrative Assistant,Other,,,
001Hr000028Zd7X,Tiffani Murphy,Planning Director,Planning & Zoning,2025-04-03,,
001Hr000028ZdAl,Ginger Garff,Plans Examiner,Building/Permitting/Inspections,2025-03-31,,
001Hr000028ZdAl,Julia Crain,Planning Director,Planning & Zoning,2026-06-04,,
001Hr000028ZdAl,Rusty Christensen,Building Official,Building/Permitting/Inspections,2026-02-25,,
001Hr000028ZdAl,JoElla Thomas,Planning Technician,Planning & Zoning,2026-02-13,,
001Hr000028ZdAl,Becky Roll,Planning Admin Asst,Planning & Zoning,2026-02-25,,
001Hr000028ZdAl,Ross Carlson,GIS Coordinator,Planning & Zoning,,,
001Hr000028ZdAl,Aidan Dennehy,Planner,Planning & Zoning,2026-01-21,,
001Hr000028ZdAl,Kreh Germaine,IT Director,Other,2025-07-28,,
001Hr000028ZdAl,JD Santifer,Animal Control Officer,Other,2026-04-07,,
001Hr000028ZdAl,Lynette Hogart,Animal Services Supervisor,Other,2026-04-07,,
001Hr000028ZdAl,JD Holland,,Other,,,
001Hr000028ZcRG,Jim Woodhull,Building Director,Building/Permitting/Inspections,2025-08-25,,
001Hr000028ZcRG,Jennifer Severson,Planning Director,Planning & Zoning,2025-11-10,,
001Hr000028ZcRG,Brad Haefs,Assistant Building Director,Building/Permitting/Inspections,2025-11-10,,
001Hr000028ZcTN,Mark -,City Manager/Planning and Zoning Administrator,Planning & Zoning,2025-07-22,,
001Hr000028ZcTN,Caleb Sobczak,GIS Technician,Planning & Zoning,2025-07-22,,
001Hr000028ZcTN,Mark Shrives,Interim City Manager | Planning and Zoning Administrator,Planning & Zoning,,,
001Hr000028ZcTN,Eric Mulcahy,Contract Planner,Planning & Zoning,,,
001Hr000028ZcTN,Eric Hanks,Town Manager,Other,2026-04-08,,
001Hr000028ZdT3,Walter Banziger,Deputy Director ? Development Services,Planning & Zoning,2025-10-16,,
001Hr000028ZdT3,Eran Pehan,"Director of Community Planning, Development, and Innovation",Planning & Zoning,2025-08-25,,
001Hr000028ZdT3,Cristina Coddington,Economic Development Coordinator,Other,,,
001Hr000028ZdT3,Alex Bramlette,Planning Director,Planning & Zoning,,,
001Hr000028ZdT3,Rachel Kropp,Permit Tech,Building/Permitting/Inspections,2025-11-14,,
001Hr000028ZdhR,Monica Plecker,Director of Public Works,Other,2025-11-24,,
001Hr000028ZdhR,Anna Vickers,Planning Manager,Planning & Zoning,2025-05-13,,
001Hr000028ZdhR,Larry Ziler,IT Director,Other,2025-11-21,,
001Hr000028Zdkt,Tammy Fowler,Admin Assistant,Other,2025-10-30,,
001Hr000028Zdkt,Rob Livesay,Director of Planning,Planning & Zoning,2025-11-03,,
001Hr000028Zdkt,Shannon Bivens,Planning Tech,Planning & Zoning,2025-10-30,,
001Hr000028Zdkt,Ike Jessep,Lt. Sheriff,Other,2025-11-03,,
001Hr000028Zds1,Susan Conell,,Other,2025-11-13,,
001Hr000028Zds1,Gary Poore,Interim Planning and GIS Director,Planning & Zoning,,,
001Hr000028Zds1,Michael Harris,Planning Director,Planning & Zoning,,,
001Hr000028ZdsM,Brad Abell,District Commisioner,Other,2025-11-14,,
001Hr000028ZdsM,Erik Mack,Planning and Zoning Director,Planning & Zoning,2025-11-17,,
001Hr000028ZduM,Sean O'Callaghan,Chief Planning Officer,Planning & Zoning,2025-04-03,,
001Hr000028ZduM,Megan Gibson,Code Compliance Officer,Code Enforcement,,,
001Hr000028ZduM,Chris Scott,Current Planning Manager,Planning & Zoning,2025-02-27,,
001Hr000028ZduM,Meghan Hazer Alvarez,Community Development Manager,Planning & Zoning,2025-02-11,,
001cv00000AuWZO,Tim Netzley,Building Inspector,Building/Permitting/Inspections,,,
001cv00000AuWbJ,Brandon Yung,Building Official,Building/Permitting/Inspections,2025-07-25,,
001cv00000AuX9o,Brian Hanna,Building Inspector,Building/Permitting/Inspections,2025-12-11,,
001cv00000AuX9o,Loni Hanson,City Clerk/ Treasurer,Other,,,
001cv00000AuX9o,Chrissy Halverson,Clerk Assistant/Short Term rental,Other,2025-12-11,,
001cv00000AuXAM,Paul Jones,Urban Supervisor,Other,,,
001cv00000AuXAM,Keith Thaut,Building Inspector,Building/Permitting/Inspections,2026-04-15,,
001cv00000AuXAM,Brad Koon,City Planner | Zoning Administrator,Planning & Zoning,,,
001cv00000AuXmE,Walter Snyder,Building Inspector | Code Official,Building/Permitting/Inspections,2025-09-23,,
001cv00000AuXn6,Kody Ryan,Code Enforcement Officer,Code Enforcement,2025-10-24,,
001cv00000AuXn6,Sean Beach,Building Inspector,Building/Permitting/Inspections,,,
001cv00000AuXn6,Trent Freeman,Public Works Superintendent,Other,,,
001cv00000AuXn6,Jordan Green,Chief Administrative Officer,Other,2025-10-24,,
001cv00000AuYAi,Rod Dees,Code Compliance Officer,Code Enforcement,2025-07-28,,
001cv00000AuYAi,Paul Skubinna,Director of Public Works,Other,,,
001cv00000AuYD5,Robert Tasker,Building Inspector,Building/Permitting/Inspections,2025-09-04,,
001cv00000AuYFN,Joel Quanbeck,Planner | Planning Department Official,Planning & Zoning,,,
001cv00000AuYFN,Mary Grube,Planning Administrative Assistant,Planning & Zoning,,,
001cv00000AuYGF,Kory Sandon,Building Official,Building/Permitting/Inspections,2025-12-12,,
001cv00000AuYGF,James Suta,City Superintendent,Other,2025-12-11,,
001cv00000AuYGF,Donni Schult,Clerk-Treasurer Dept,Other,2025-12-11,,
001cv00000AuYGF,Michael Schultz,Police Chief / CEO,Other,2025-12-11,,
001cv00000AuYIw,Linda Bouck,Planning Director | Floodplain Administrator,Building/Permitting/Inspections,2025-12-08,,
001cv00000AuYIw,Sheriffs Dpt,Sheriff Dpt,Other,2025-12-08,,
001cv00000AuYlA,Kristina Abbey,Director of Operations,Other,,,
001cv00000AuYlA,Todd Hazelbaker,Planning Official,Planning & Zoning,,,
001cv00000AuYrB,Joe Connelly,Building Inspector | Code Enforcement Officer,Code Enforcement,,,
001cv00000AuYs5,Lana King,Zoning Officer | Assistant Planner,Planning & Zoning,,,
001cv00000AuYs5,Page Dringman,Planning Director | Floodplain Administrator,Building/Permitting/Inspections,,,
001cv00000AuZAm,Jerry Grebenc,Director of Planning,Planning & Zoning,2025-07-28,,
001cv00000AuZAm,Julie Grebenc,Planning Department Consultant,Planning & Zoning,,,
001cv00000AuZB3,Ted Kronebusch,Building Inspection Contract Board Member,Building/Permitting/Inspections,,,
001cv00000AuZB3,Mark Grubb,Planning Board Member,Planning & Zoning,,,
001cv00000AuZB3,Brook Reichar,Deputy County Recorder,Other,,,
