Account ID,Full Name,Title,Function,Last Activity,Email,Phone
001Hr000028ZcV3,Dale Sylvia,Chief Building Inspector/Health Officer,Building/Permitting/Inspections,2025-06-09,,
001Hr000028ZcV3,Eduard Viel,Planning Board Chairman,Planning & Zoning,,,
001Hr000028ZcV3,Alana Kenney,Land Use Clerk,Planning & Zoning,,,
001Hr000028ZcaA,Mark Fougere,Town Planner,Planning & Zoning,2025-04-07,,
001Hr000028ZcaA,Bob Garside,Building Inspector | Code Enforcement Officer,Code Enforcement,2025-04-10,,
001Hr000028ZcaC,Christina Donovan,Zoning Administrator,Planning & Zoning,2025-06-11,,
001Hr000028ZcdN,Tony Sawyer,Land Use Administrator,Planning & Zoning,2025-05-22,,
001Hr000028ZcdN,Bob Clark,Building Inspector,Building/Permitting/Inspections,2025-10-06,,
001Hr000028ZcdN,Naomi Bolton,Town Administrator,Other,2025-10-06,,
001Hr000028ZcdN,Cam Williams,Building Inspector,Building/Permitting/Inspections,2025-11-07,,
001Hr000028ZcdN,Melissa Salisbury,Planning and Zoning Administrator,Planning & Zoning,,,
001Hr000028Zbtc,Carrie Rouleau-C̫t̩,Building Inspector,Building/Permitting/Inspections,2025-11-19,,
001Hr000028Zbtc,Denise Royce,Land Use Administrator,Planning & Zoning,,,
001Hr000028Zbtc,Denise Morgan,Land Use Administrator,Planning & Zoning,,,
001Hr000028Zbtc,Chris Sterndale,Town Administrator,Other,2025-11-19,,
001Hr000028Zbty,Gary Somero,Fire Chief/Building and Code Inspector,Building/Permitting/Inspections,2025-03-12,,
001Hr000028Zbty,Jennifer Minckler,Land Use Administrator,Planning & Zoning,2025-03-12,,
001Hr000028Zbty,Peter Kelleher,Building Inspector | Code Enforcer,Building/Permitting/Inspections,,,
001Hr000028Zcea,Jim Marchese,Building Inspector/Health Officer,Building/Permitting/Inspections,2025-01-30,,
001Hr000028Zcea,Mark Connors,Town Planner,Planning & Zoning,2025-01-30,,
001Hr000028Zcea,William Dinsmore,Building Inspector and Code Enforcement Officer,Code Enforcement,,,
001Hr000028Zcea,Peter Rowell,Building Inspector | Code Enforcement Officer,Code Enforcement,,,
001Hr000028Zcea,Vanessa Price,Planning & Building Director,Building/Permitting/Inspections,2026-02-19,,
001Hr000028ZcfC,Kyle Pimental,Director of Planning and Community Development,Planning & Zoning,2025-01-30,,
001Hr000028ZcfC,Mark Ekberg,Building Inspector | Code Enforcement Officer,Code Enforcement,2025-11-07,,
001Hr000028ZcfC,Tabitha Scott,Planning and Community Development Coordinator,Planning & Zoning,,,
001Hr000028ZcfC,Ken Dickie,Town Administrator,Other,2025-12-02,,
001Hr000028ZchC,Michele Decoteau,Town Planner,Planning & Zoning,2025-04-14,,
001Hr000028ZchC,Steve Sacherski,Building Inspector,Building/Permitting/Inspections,2025-02-05,,
001Hr000028ZchC,Dave Descheneaux,Building Official,Building/Permitting/Inspections,2025-04-14,,
001Hr000028ZchC,Paul Branscombe,Town Admin,Other,2025-04-14,,
001Hr000028ZchC,Bentley Herget,Building Official,Building/Permitting/Inspections,,,
001Hr000028ZchT,Bart McDonough,Director of Planning and Community Development,Planning & Zoning,2026-01-26,,
001Hr000028ZchT,David Evans,Building Official/Health Officer,Building/Permitting/Inspections,2026-01-21,,
001Hr000028ZchT,Bridgette Grotheer,Land Use Administrator,Planning & Zoning,,,
