Account ID,Full Name,Title,Function,Last Activity,Email,Phone
001Hr000028Zbsu,Sam Duggan,Building Inspector,Building/Permitting/Inspections,2025-10-03,,
001Hr000028Zbsu,Alicia Heiser,City Manager,Other,2025-10-03,,
001Hr000028Zbsu,Betty Lawrence,Principal Planner,Planning & Zoning,,,
001Hr000028Zbsu,Fitzpatrick,,Other,,,
001Hr000028Zbx9,Cathyann Laughlin,Head Planner,Planning & Zoning,2025-11-07,,
001Hr000028Zbx9,Jeff Ford,Chief Building Official,Building/Permitting/Inspections,2026-02-02,,
001Hr000028Zbx9,Rachel Randall,Planning Technician,Planning & Zoning,2025-11-03,,
001Hr000028Zbx9,Ramon Dionisio,Code Enforcement Officer,Code Enforcement,2025-11-03,,
001Hr000028Zbx9,Jan Baum,Assistant City Manager,Other,2025-11-10,,
001Hr000028Zbx9,Ralph Negron,Development Manager,Other,2025-11-17,,
001Hr000028Zbx9,Julie Davis,Finance Director/IT Director,Other,2025-12-10,,
001Hr000028Zbx9,Dale Johnson,Assistant City Manager,Other,2025-11-19,,
001Hr000028Zbx9,Jody Notestine,Unclear,Other,2025-11-12,,
001Hr000028Zbyh,Martine Green,Deputy City Manager,Other,2025-11-06,,
001Hr000028Zbyh,Richard Secrist,Development Services Director,Planning & Zoning,2025-11-06,,
001Hr000028Zbyh,Simon Kim,Com Dev Director,Other,2025-11-06,,
001Hr000028Zbyh,Julie Goodsell,City Clerk,Other,2026-01-14,,
001Hr000028Zc08,Michele Rambo,Planning Director,Planning & Zoning,2026-04-22,,
001Hr000028Zc08,Tim Thompson,Planning Director,Planning & Zoning,2026-04-17,,
001Hr000028Zc08,Charity Birkel,Building Inspector/Code Enforcement Officer,Code Enforcement,2026-02-04,,
001Hr000028Zc08,Alisa Johansson,Senior Planner,Planning & Zoning,,,
001Hr000028Zc08,Debra Bement,Permit Tech,Building/Permitting/Inspections,2025-10-30,,
001Hr000028Zc08,Barry Williams,Public Works Director,Other,2025-11-03,,
001Hr000028Zcth,Derek Zimney,City Engineer,Other,,,
001Hr000028Zcth,Nicole Dooley,Economic Development Director,Other,,,
001Hr000028Zcth,Liz Kelley,Building Department Coordinator | Permit Processing Official,Building/Permitting/Inspections,,,
001Hr000028Zcth,Gary Johnson,Building Inspector,Building/Permitting/Inspections,2026-05-13,,
001Hr000028ZcNb,Taylour Tedder,City Manager,Other,2025-10-30,,
001Hr000028ZcNb,Michael Mays,Community Development Director,Planning & Zoning,2026-04-06,,
001Hr000028ZcNb,Nathan Ball,Code Compliance,Code Enforcement,2025-11-03,,
001Hr000028ZcNb,Nakeisha Lyon,City Planner,Planning & Zoning,2026-01-12,,
001Hr000028Zdg3,Tom Dallaire,Director of Community Development,Planning & Zoning,2025-03-24,,
001Hr000028Zdg3,Andrea Pawling,Deputy Director of Community Development,Planning & Zoning,2026-02-20,,
001Hr000028Zdgk,Hope Sullivan,Director of Community Development,Planning & Zoning,2025-12-18,,
001Hr000028Zdgk,James Wentworth,Chief Building Official,Building/Permitting/Inspections,2025-11-03,,
001Hr000028Zdgk,Stephen Pottey,Project Manager,Other,,,
001Hr000028Zdgk,Lena Reseck,Planning Board Chairman,Planning & Zoning,,,
001Hr000028Zdgk,Heather Ferris,Planning Manager,Planning & Zoning,2025-11-12,,
001Hr000028Zdgk,Natalie Kiel,Business License,Other,,,
001Hr000028Zdgk,IT Dpt,IT Dpt,Other,2026-01-09,,
001Hr000028Zdgk,Frank Abella,Chief IT Office,Other,2026-02-02,,
001Hr000028ZdnH,Pamela Rogers,Admin Assistant,Other,2025-11-04,,
