Account ID,Full Name,Title,Function,Last Activity,Email,Phone
001Hr000028ZbpD,Joshua Smith,Planning Director,Planning & Zoning,2025-03-27,,
001Hr000028ZbpN,Bryan Pohl,Community Development Director,Planning & Zoning,2025-03-27,,
001Hr000028ZbpN,Yvette Hamilton,Building Official,Building/Permitting/Inspections,2025-03-27,,
001Hr000028ZbpN,Brenna Fulks,Economic Development Coordinator,Other,,,
001Hr000028ZbqT,Megan Hurley,Building Official,Building/Permitting/Inspections,2025-03-27,,
001Hr000028ZbqT,Shane Witham,Planning Director,Planning & Zoning,2025-03-27,,
001Hr000028ZcaH,Carol Gordon,Code Enforcement,Code Enforcement,,,
001Hr000028ZcaH,Steve Wills,Director of Planning & Building,Building/Permitting/Inspections,,,
001Hr000028ZcaH,Megan Sharp,Code Enforcement,Code Enforcement,,,
001Hr000028ZcaH,Rick Goff,Building Official,Building/Permitting/Inspections,2025-05-20,,
001Hr000028ZbrA,Laura Weigel,Planning Manager,Planning & Zoning,2025-03-27,,
001Hr000028ZbrA,Samantha Vandagriff,Chief Building Official,Building/Permitting/Inspections,2025-03-27,,
001Hr000028ZbrA,Patrick McLeod,Chief Building Official,Building/Permitting/Inspections,,,
001Hr000028ZbrA,Janine Gates,Economic Development Program Manager,Other,,,
001Hr000028Zbrr,AnneMarie Skinner,Planning and Community Development Director,Planning & Zoning,2025-03-27,,
001Hr000028Zbrr,Alison Robertson,Economic Development Director,Other,,,
001Hr000028Zbrr,Brandon Zipser,Building Official | Building Inspector,Building/Permitting/Inspections,,,
001Hr000028Zbrr,Austin Hull,Assistant Planner,Planning & Zoning,,,
001Hr000028Zbrr,Richard Townsend,Planning & Community Development Director,Planning & Zoning,,,
001Hr000028ZbsW,Garrett Freshour,Chief Building Official,Building/Permitting/Inspections,2025-02-05,,
001Hr000028ZbsW,Meg Leatherman,Community Development Director,Planning & Zoning,2025-04-04,,
001Hr000028ZbsW,John Roberts,Community Development Director,Planning & Zoning,2025-10-22,,
001Hr000028ZbsW,Matt Brandmeyer,Community Development Director (interim),Planning & Zoning,2026-04-30,,
001Hr000028ZbtI,Jim Clark,Building Official,Building/Permitting/Inspections,2025-03-27,,
001Hr000028ZbtI,Darren Wyss,Planning Manager,Planning & Zoning,2025-03-27,,
001Hr000028ZbtI,Steve Koper,Community Development Director,Planning & Zoning,2026-02-20,,
001Hr000028ZbtK,Eric Mongan,City Planner,Planning & Zoning,2025-06-27,,
001Hr000028ZbtK,Faye Stewart,Public Works and Development Director,Other,,,
001Hr000028ZbtK,Jason Bush,Building Official,Building/Permitting/Inspections,2025-07-16,,
001Hr000028ZbtK,Tina McDonald,Planning and Building Permit Specialist,Building/Permitting/Inspections,2025-06-27,,
001Hr000028ZbtK,Leni Crow,Associate Planner,Planning & Zoning,2025-07-31,,
001Hr000028ZbtK,Melany Klemmer,Community Development Manager,Planning & Zoning,2026-05-13,,
001Hr000028Zbtx,Jacob Graichen,City Planner,Planning & Zoning,,,
001Hr000028Zbtx,John Walsh,City Administrator,Other,,,
001Hr000028Zbtx,Mike DeRoia,Building Official,Building/Permitting/Inspections,,,
001Hr000028Zbu4,Peter Gutowsky,Community Development Director,Planning & Zoning,2025-07-09,,
001Hr000028Zbu4,William Groves,Planning Manager,Planning & Zoning,,,
001Hr000028Zbu4,Randy Schneid,Building Official,Building/Permitting/Inspections,2025-05-19,,
001Hr000028Zbu4,Krista Appleby,Building Official,Building/Permitting/Inspections,2026-05-12,,
001Hr000028ZbuH,Michelle Amberg,City Manager,Other,,,
001Hr000028ZbuH,Angela Keppler,Building Official,Building/Permitting/Inspections,,,
001Hr000028ZbuH,Curtis Thomas,City Planner,Planning & Zoning,,,
001Hr000028Zbud,Yvette Lock,Chief Building Official,Building/Permitting/Inspections,2025-03-27,,
001Hr000028Zbud,Sarah Selden,Planning and Economic Development Manager,Planning & Zoning,,,
001Hr000028Zbv7,Michael Walter,Economic and Community Development Director,Planning & Zoning,,,
001Hr000028Zbv7,Mark Ennis,Building Official,Building/Permitting/Inspections,2025-03-27,,
001Hr000028Zbv7,Laura Terway,Planning Manager,Planning & Zoning,2025-03-27,,
001Hr000028ZbvL,Alice Nielsen,Building Administrator,Building/Permitting/Inspections,,,
001Hr000028ZbvL,Dustin Nilsen,Director of Planning and Zoning,Planning & Zoning,,,
001Hr000028ZbvL,Greg Hagbery,Development Administrator,Other,,,
001Hr000028ZbvL,Kevin Liburdy,Senior Planner | Zoning Administrator,Planning & Zoning,,,
001Hr000028Zbvq,Bradley Clark,Community Development Director,Planning & Zoning,2025-09-15,,
001Hr000028Zbvq,Ken Sandlin,Building Official,Building/Permitting/Inspections,,,
001Hr000028Zbvu,Lisa Garbett,City Planner,Planning & Zoning,2025-02-18,,
001Hr000028Zbvu,Jason Bush,Building Official,Building/Permitting/Inspections,2025-02-19,,
001Hr000028Zbvu,Daniel Findlay,City Planner,Planning & Zoning,2025-02-18,,
001Hr000028Zbvu,Cole Haselip,Management Analyst,Other,,,
001Hr000028Zbvu,Matt Laird,Community Development Director,Planning & Zoning,,,
001Hr000028Zbvu,Matt Michel,Finance Director,Other,2026-03-24,,
001Hr000028ZbwI,Colin Cortes,City Planner,Planning & Zoning,2025-09-17,,
001Hr000028ZbwI,Melissa Gitt,Chief Building Official,Building/Permitting/Inspections,2025-09-17,,
001Hr000028ZbwI,Jamie Johnk,Economic Development Director,Other,,,
001Hr000028Zbwl,Russ Young,Building Official,Building/Permitting/Inspections,2025-03-27,,
001Hr000028Zbwl,Gary Kaping,Public Works/Planning Director,Planning & Zoning,,,
001Hr000028Zbwl,Tere Andrews,Planning Technician,Planning & Zoning,,,
001Hr000028Zbwl,Jason Johannesen,Building Official,Building/Permitting/Inspections,,,
001Hr000028Zbwl,Dawn Northey,Permit Technician,Building/Permitting/Inspections,,,
001Hr000028ZbyA,Shawn Eaton,Building Official,Building/Permitting/Inspections,2025-08-25,,
001Hr000028ZbyA,Kelly Hart,Community Development Director,Planning & Zoning,,,
001Hr000028ZbyA,Alysia Rodgers,Economic Development Catalyst,Other,,,
001Hr000028ZbyA,Tammy Dickey,Development Specialist,Other,2025-06-30,,
001Hr000028ZbyT,Don Hardy,Planning Director,Planning & Zoning,2025-03-27,,
001Hr000028ZbyT,Jamie Stickel,Economic Development Director,Other,,,
001Hr000028ZbyU,Thomas McIntosh,City Planner,Planning & Zoning,2025-01-03,,
001Hr000028ZbyU,Andy Howell,Director of Public Works,Other,,,
001Hr000028ZbyU,Landon Stevens,City Planner,Planning & Zoning,,,
001Hr000028ZbzE,Macahan Corthell,Planning Director,Planning & Zoning,2025-03-27,,
001Hr000028ZbzE,Dan Zinder,,Other,,,
001Hr000028Zc0P,Elizabeth Happala,Community Development Administrator,Planning & Zoning,2025-10-14,,
001Hr000028Zc0P,Don VanDomelen,Building Official,Building/Permitting/Inspections,,,
001Hr000028Zc0P,Alex Rains,City Manager,Other,,,
001Hr000028Zc0b,Aaron Yuma,Building Official,Building/Permitting/Inspections,2025-03-27,,
001Hr000028Zc0b,Deborah McMahon,Planning Manager,Planning & Zoning,2025-03-27,,
001Hr000028Zc0b,Chuck Arnold,Economic Development Manager,Other,,,
001Hr000028Zc18,Brian Elliott,Community Development Director,Planning & Zoning,,,
001Hr000028Zc18,Kristi Gilbert,Community Development Director,Planning & Zoning,2025-01-02,,
001Hr000028Zc18,Jamie Fugate,City Planner,Planning & Zoning,,,
001Hr000028Zc18,Jamie Chartier,Director of Community Development,Planning & Zoning,,,
001Hr000028Zc18,Brandi Medeiros,Community Development Assistant,Planning & Zoning,,,
001Hr000028Zc1m,Jim Sayers,Building Official,Building/Permitting/Inspections,2025-03-27,,
001Hr000028Zc1m,Aquilla Hurd-Ravich,Community Development Director,Planning & Zoning,,,
001Hr000028Zc1m,James Graham,Economic Development Manager,Other,,,
001Hr000028Zc2K,Sean Blaire,Chief Building Official,Building/Permitting/Inspections,,,
001Hr000028Zc2K,David Berniker,Community Development Director,Planning & Zoning,,,
001Hr000028Zc2K,Heather Jones,Interim Community Development Director,Planning & Zoning,,,
001Hr000028Zc2K,Marlee Boxler,Economic Development Coordinator,Other,,,
001Hr000028Zc2K,Erika Palmer,Director of Community Development,Planning & Zoning,2025-12-15,,
001Hr000028Zc2V,Joy Fields,City Planner,Planning & Zoning,,,
001Hr000028Zc2V,Jacque Betz,City Administrator,Other,2025-02-13,,
001Hr000028Zc2V,Heather Austin,Planner,Planning & Zoning,2025-01-29,,
001Hr000028Zc2m,Chuck Woolsey,Chief Building Official,Building/Permitting/Inspections,,,
001Hr000028Zc2m,Mark Morgan,Economic Development/Assistant City Manager,Other,,,
001Hr000028Zc2m,Clinton Spencer,Planning Director,Planning & Zoning,2025-03-27,,
001Hr000028Zc3F,Nick Snead,Community Development Director,Planning & Zoning,2025-10-14,,
001Hr000028Zc3F,Bethany O'Connor,Associate Planner,Planning & Zoning,,,
001Hr000028Zc3X,Joe Lessard,City Administrator,Other,,,
001Hr000028Zc3X,Steven Matiaco,Building Official,Building/Permitting/Inspections,,,
001Hr000028Zc3X,Bill Molnar,Community Development Director,Planning & Zoning,,,
001Hr000028Zc42,Stuart Cowie,Community Development Director,Planning & Zoning,,,
001Hr000028Zc47,Marcy Siriwardene,Building Official,Building/Permitting/Inspections,2025-03-27,,
001Hr000028Zc47,Dan Cummings,City Manager/Community Development Director,Planning & Zoning,,,
001Hr000028Zc4k,Jeff Flory,Planning Director,Planning & Zoning,2025-03-27,,
001Hr000028Zc4k,Jordan Sprague,VRD Compliance Official,Other,,,
001Hr000028Zc4k,Spencer Kyle,City Manager,Other,,,
001Hr000028Zc5K,David Stockdale,City Manager,Other,,,
001Hr000028Zc5K,John Rodriguez,Building Inspector,Building/Permitting/Inspections,,,
001Hr000028Zc5K,Brandon Seitz,Community Development Director,Planning & Zoning,,,
001Hr000028Zc5K,Kevin Roth,Building Official,Building/Permitting/Inspections,2025-10-14,,
001Hr000028Zc5K,Nancy Miranda,Associate Planner,Planning & Zoning,,,
001Hr000028Zc5s,Chelsea Schnabel,Planning Administrator,Planning & Zoning,,,
001Hr000028Zc5s,Amy Linder,Building Codes Administrator,Building/Permitting/Inspections,2025-03-27,,
001Hr000028Zc5s,Jim Hossley,Public Works Director and Community Development Director,Planning & Zoning,,,
001Hr000028Zc6l,Erika Palmer,Planning Manager,Planning & Zoning,2025-03-27,,
001Hr000028Zc6l,Scott McKie,Building Official,Building/Permitting/Inspections,2025-03-27,,
001Hr000028Zc6l,Bruce Coleman,Economic Development Manager,Other,,,
001Hr000028Zc75,Laurel Sweeney,City Planner,Planning & Zoning,,,
001Hr000028Zc75,Linda Hall,City Manager,Other,,,
001Hr000028Zc75,Leanne Steadman,,Other,,,
001Hr000028Zc75,Kassidy Ruiz,Planning Assistant | Interim City Planner,Planning & Zoning,,,
001Hr000028Zc7C,Aaron Prunty,City Administrator,Other,,,
001Hr000028Zc7C,Jack Applegate,Building Official,Building/Permitting/Inspections,2025-03-27,,
001Hr000028Zc7C,Mike Upston,Planning Director,Planning & Zoning,,,
001Hr000028Zc7C,Cliff Pettigrew,Building Official,Building/Permitting/Inspections,,,
001Hr000028Zc7C,Mike AICP,Planning Director,Planning & Zoning,,,
001Hr000028Zcvp,Matthew Ruettgers,Director of Community Development,Planning & Zoning,,,
001Hr000028Zcvp,Anne Catlin,Comprehensive Planning Manager,Planning & Zoning,,,
001Hr000028Zc96,Garrett Thomson,Building Official,Building/Permitting/Inspections,,,
001Hr000028Zc96,Anthony Baron,Director of Public Works and Development Services Director,Planning & Zoning,2025-01-03,,
001Hr000028Zc96,Lauri Ziemer,Deputy Public Works & Development Services Director,Planning & Zoning,,,
001Hr000028Zc96,Terry Konrady,Building Inspector,Building/Permitting/Inspections,,,
001Hr000028Zc9b,Doug Rux,Economic and Community Development Director,Planning & Zoning,,,
001Hr000028Zc9b,Clay Downing,Planning Manager,Planning & Zoning,2025-03-27,,
001Hr000028Zc9b,Brooks Bateman,Building Official,Building/Permitting/Inspections,2025-03-27,,
001Hr000028ZcBM,Kim McMillan,Community Development Director,Planning & Zoning,2025-03-27,,
001Hr000028ZcBM,Suzanne Tyler,Building Official,Building/Permitting/Inspections,2025-03-27,,
001Hr000028ZcBM,Jonathan Taylor,Economic Development Manager,Other,,,
001Hr000028ZcBq,George Cress,City Planner,Planning & Zoning,2025-03-27,,
001Hr000028ZcBq,Ty Woolsey,Chief Building Official,Building/Permitting/Inspections,2025-03-27,,
001Hr000028ZcBq,Steve Chrisman,Economic Development Director,Other,,,
001Hr000028ZcCg,Chris Neamtzu,Community Development Director,Planning & Zoning,2025-03-27,,
001Hr000028ZcCg,Dan Carlson,Building Official,Building/Permitting/Inspections,2025-03-27,,
001Hr000028ZcCg,Miranda Bateschell,Planning Director,Planning & Zoning,2025-03-27,,
001Hr000028ZcDJ,Greg Lewellyn,Building Official,Building/Permitting/Inspections,,,
001Hr000028ZcDJ,Suzanne Dufner,Community and Economic Development Director,Other,,,
001Hr000028ZcDT,Derrick Tokos,Community Development and Planning Director,Planning & Zoning,,,
001Hr000028ZcDT,Joseph Lease,Building Official,Building/Permitting/Inspections,,,
001Hr000028ZcE1,Liam Bean,City Planner,Planning & Zoning,,,
001Hr000028ZcE1,Jim Jacks,Building Official,Building/Permitting/Inspections,,,
001Hr000028ZcE1,H. Bell,City Manager | Administrative Head,Other,,,
001Hr000028ZcEF,Tommy OÃDonnell,Director of Community Development,Planning & Zoning,,,
001Hr000028ZcEF,Melissa Jenck,City Planner,Planning & Zoning,,,
001Hr000028ZcEF,Megan Carpenter,City Planner,Planning & Zoning,2025-04-30,,
001Hr000028ZcEF,Nathan George,City Manager/Recorder,Other,,,
001Hr000028ZcEF,Sarah Absher,Director of Community Development,Planning & Zoning,,,
001Hr000028ZcEF,Jack Applegate,Interim Building Official,Building/Permitting/Inspections,,,
001Hr000028ZcEK,Terre Gift,Chief Building Official,Building/Permitting/Inspections,2025-03-27,,
001Hr000028ZcEK,Kelly O'Neill,Development Services Director,Planning & Zoning,2025-03-27,,
001Hr000028ZcEK,David Snider,Economic Development Manager,Other,,,
001Hr000028ZcEP,Stuart Ramsing,Chief Building Official,Building/Permitting/Inspections,2025-03-27,,
001Hr000028ZcEP,Heather Richards,Planning Director,Planning & Zoning,2025-03-27,,
001Hr000028ZcEU,Brian Don,Building Official,Building/Permitting/Inspections,2025-03-27,,
001Hr000028ZcEU,Scot Siegel,Community Development Director,Planning & Zoning,2025-03-27,,
001Hr000028ZcEU,Jessica Numanoglu,Community Development Director,Planning & Zoning,2026-02-20,,
001Hr000028ZcEZ,Jennifer Siciliano,Director of Planning and Development,Planning & Zoning,2025-01-02,,
001Hr000028ZcEZ,Dan Fleishman,Community Development Director,Planning & Zoning,,,
001Hr000028ZcEZ,Alissa Angelo,Assistant City Manager,Other,,,
001Hr000028ZcEZ,Julia Hajduk,City Manager,Other,,,
001Hr000028ZcEe,Charlie Mitchell,Economic and Community Development Director,Planning & Zoning,2025-12-04,,
001Hr000028ZcEe,Troy Skinner,Building Official,Building/Permitting/Inspections,2025-02-05,,
001Hr000028ZcEe,Chris Reichelt,Building Official,Building/Permitting/Inspections,,,
001Hr000028ZcEe,Emily Gagner,Assistant City Manager,Other,,,
001Hr000028ZcEj,Jay Blake,Building Commissioner,Building/Permitting/Inspections,2025-01-02,,
001Hr000028ZcEj,Van Wilfinger,Chief Building Official,Building/Permitting/Inspections,,,
001Hr000028ZcEj,Bob Johnston,Chief Building Official,Building/Permitting/Inspections,,,
001Hr000028ZcEj,Matthew Ellis,Planning Director | Community Development Official,Planning & Zoning,,,
001Hr000028ZcEo,Daryl Jones,Chief Building Official,Building/Permitting/Inspections,2025-12-15,,
001Hr000028ZcEo,Jason Gottgetreu,Community Development Director,Planning & Zoning,2025-12-15,,
001Hr000028ZcEt,Fred Evander,City Planner,Planning & Zoning,,,
001Hr000028ZcEt,Jeff Kennedy,Building Inspector,Building/Permitting/Inspections,,,
001Hr000028ZcEt,Shawn Irvine,Economic Development Director,Other,,,
001Hr000028ZcEu,Dave Mortier,Chief Building Official,Building/Permitting/Inspections,2025-03-27,,
001Hr000028ZcEu,WendyFarley Campbell,Planning Director,Planning & Zoning,2025-03-27,,
001Hr000028ZcEu,Sarah Moehrke,Economic Development Analyst,Other,,,
001Hr000028ZcEu,Jeremy Austin,Building Permit Technician,Building/Permitting/Inspections,,,
