Account ID,Full Name,Title,Function,Last Activity,Email,Phone
001Hr000028ZbcP,Thomas Daniels,Planning and Zoning Director,Planning & Zoning,2025-11-06,,
001Hr000028ZbcP,William Laudien,Township Manager/Secretary,Other,,,
001Hr000028ZbcP,Gretchen Smith,Planning and Zoning Coordinator,Planning & Zoning,,,
001Hr000028ZbcP,John Donnelly,Planning and Zoning Director,Planning & Zoning,2025-11-06,,
001Hr000028ZbcQ,Duane Brady,Zoning/Code Enforcement Officer,Code Enforcement,2026-05-26,,
001Hr000028ZbcQ,Jill Frey,Assistant Borough Manager,Other,,,
001Hr000028ZbcQ,Wendy Melhorn,Planning Commission Chairperson,Planning & Zoning,,,
001Hr000028ZbcQ,Stacie Gibbs,Building Codes Official,Building/Permitting/Inspections,2026-05-18,,
001Hr000028ZbcQ,Mark Pugliese,Borough Manager,Other,2026-05-20,,
001Hr000028ZbcQ,Rachel Stebbins,Community & Economic Development Coordinator/Grant Writer,Other,,,
001Hr000028ZbcQ,Brett Hamm,Code Official | Zoning Administrator,Planning & Zoning,,,
001Hr000028ZbcU,Tino Nocchi,Building Code Official,Building/Permitting/Inspections,2026-05-22,,
001Hr000028ZbcU,Scott Amori,Planning Commission Chairman,Planning & Zoning,,,
001Hr000028ZbcU,Chris Clause,Director of Public Works,Other,2026-05-20,,
001Hr000028ZbcU,Scott Brown,Sewage Enforcement Officer,Other,,,
001Hr000028ZbcV,Randy Moyer,Zoning Officer,Planning & Zoning,,,
001Hr000028ZbdK,Kathleen Sebastian,Township Manager/Secretary,Other,,,
001Hr000028ZbdK,William Eck,Chief Building Code Official,Building/Permitting/Inspections,2025-02-06,,
001Hr000028ZbdK,Ed Price,"Chairman, Planning Commission",Planning & Zoning,,,
001Hr000028ZbdL,Jackie Larkin,Planning Commission Chairperson,Planning & Zoning,,,
001Hr000028ZbdL,Kimberly Hill,Permit Administrator,Building/Permitting/Inspections,2026-01-21,,
001Hr000028ZbdL,Don Vymazal,Township Manager,Other,,,
001Hr000028ZbdL,Barry Luber,Township Manager,Other,,,
001Hr000028Zbms,Dave McGuigan,Building Inspector,Building/Permitting/Inspections,2025-03-20,,
001Hr000028Zbms,Erin Greco,Planning Commission Chairman,Planning & Zoning,,,
001Hr000028Zbms,Rebecca Vargo,Township Manager,Other,,,
001Hr000028Zbms,Ryan Flaherty,Property Maintenance Officer | Code Enforcement Official,Code Enforcement,2026-01-22,,
001Hr000028Zbms,Doris Bingham,Administrative Coordinator | Township Representative,Other,,,
001Hr000028Zbmy,William Shigo,Code Enforcement Officer,Code Enforcement,2025-03-25,,
001Hr000028Zbmy,C.J. Mustacchio,Borough Manager,Other,,,
001Hr000028Zbn0,Stephen Nease,Township Manager/Treasurer,Other,,,
001Hr000028Zbn0,Stan S,Director of Code/Zoning Officer,Planning & Zoning,2026-05-12,,
001Hr000028Zbn0,Micah Lewis,Township Manager,Other,2026-05-19,,
001Hr000028Zbn7,John Antinori,Borough Manager,Other,2025-12-17,,
001Hr000028Zbn7,James Barca,Code Enforcement Director,Code Enforcement,2025-12-16,,
001Hr000028Zbn7,Amanda Ford,Assistant Borough Manager,Other,2025-12-16,,
001Hr000028Zbn7,Nicole Santella,Council Member Ward 3,Other,2025-12-17,,
001Hr000028ZbnV,Tony Scheivert,Township Manager,Other,2026-02-02,,
001Hr000028ZbnV,Shanna Lodge,Assistant Township Manager,Other,,,
001Hr000028ZbnV,Rhys Lloyd,Code Enforcement Director,Code Enforcement,2026-02-09,,
001Hr000028ZbnV,Anthony Campbell,Zoning Officer,Planning & Zoning,2026-01-23,,
001Hr000028ZbnV,Gwen Jonik,Township Secretary,Other,2026-02-02,,
001Hr000028ZbnV,Lindsay Yeager,Assistant Township Manager,Other,,,
001Hr000028ZbnX,Fritz Neufeld,Building Codes Officer,Building/Permitting/Inspections,,,
001Hr000028ZbnX,Charles Zitnick,Planning Commission Chairman,Planning & Zoning,,,
001Hr000028ZbnX,Joshua Kopp,Township Manager/Secretary/Treasurer/Road Master/Street Superintendent,Other,,,
001Hr000028ZbnX,Bethany Inman,Zoning/Permit Officer | Floodplain Administrator,Building/Permitting/Inspections,,,
001Hr000028ZbnZ,Darrin Catts,Township Manager/Zoning and Code Enforcement Officer,Code Enforcement,2025-08-27,,
001Hr000028ZcWd,Ronald Dise,Planning Commission Chairman,Planning & Zoning,,,
001Hr000028ZcWd,Richard Schilling,Township Manager,Other,,,
001Hr000028ZcWd,Sarah Beebe,Administrative Assistant | Planning/Zoning/Building,Building/Permitting/Inspections,,,
001Hr000028ZcWd,Tom Kelso,Township Planner,Planning & Zoning,2025-09-30,,
001Hr000028Zbnu,Charlie Guttenplan,Director of Planning and Zoning,Planning & Zoning,,,
