Account ID,Full Name,Title,Function,Last Activity,Email,Phone
001Hr000028ZcVT,Trace McPherson,Building Inspector,Building/Permitting/Inspections,,,
001Hr000028ZcVT,Scott Carver,Codes and Zoning Officer | Building Inspector,Building/Permitting/Inspections,2025-07-11,,
001Hr000028Zbny,Paul Luker,Planning Director,Planning & Zoning,2026-02-03,,
001Hr000028Zbny,Katrina Shields,Code Enforcement Officer,Code Enforcement,2025-04-22,,
001Hr000028Zbny,Lisa West,Community Development Specialist / Planning Support,Planning & Zoning,2026-02-03,,
001Hr000028Zbny,Josh Thompson,"ITS Director, GISP",Planning & Zoning,2026-05-08,,
001Hr000028ZcYH,Mark Kirk,Chief Building Official,Building/Permitting/Inspections,2026-04-23,,
001Hr000028ZcYH,Jennifer Hamblen,Planning Director,Planning & Zoning,2025-12-11,,
001Hr000028ZcYH,Mark McLane,Deputy Building Official,Building/Permitting/Inspections,2026-04-23,,
001Hr000028ZcYH,Keith Youmans,Codes Official,Other,2025-10-21,,
001Hr000028ZcYH,Jon Baughman,City Planner,Planning & Zoning,2026-04-17,,
001Hr000028ZcYH,Sheila Luckett,Deputy City Manager / City Recorder,Other,2025-11-25,,
001Hr000028ZcYH,Tyler Gutierrez,Planning Coordinator,Planning & Zoning,2026-04-23,,
001Hr000028Zcd9,Joe White,Codes Director,Other,2026-06-09,,
001Hr000028Zcd9,Bo Logan,City Planner,Planning & Zoning,2024-10-30,,
001Hr000028Zcd9,Kyle Brown,Assistant City Administrator,Other,,,
001Hr000028Zcg7,John Davidson,Planning and Codes Director,Planning & Zoning,2026-05-26,,
001Hr000028Zcg7,Jennifer Ramirez,,Other,2026-05-13,,
001Hr000028Zcg7,Natalie Martinkus,Dry Creek Engineering,Other,,,
001Hr000028Zchu,Brent Beshires,Building and Zoning Official,Building/Permitting/Inspections,2026-02-24,,
001Hr000028Zchu,Craig Casey,Planning Commission Chairman,Planning & Zoning,,,
001Hr000028Zchu,Jim Garland,City Recorder,Other,,,
